"FWtU1","fJrrk","fJrrk 2","FWtU1 href","Qj_9F src","LBG5d","Z_aNr","t5RmH","t5RmH 2","HaBLt","HaBLt 2","zmm9w","p7NSE src","Kh0Rn","HX987","qHfAA","W9v_K","y2ZHx","y2ZHx 2","y2ZHx 3"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=411447767&con=NEW&dam=false&isSearchRequest=true&pageNumber=2&ref=srp&refId=944c691a-cc74-b242-09ca-8c522c4ac612&s=Car&sb=rel&searchId=944c691a-cc74-b242-09ca-8c522c4ac612&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/84/84c0e7d7-b824-409b-adf2-7fa9a892c7f5?rule=mo-160w.jpg","Volkswagen Golf","VIII Variant 1.5 TSI Life LD GJ-REIFEN REAR","29.490 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 127 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/4f/4fd2fb25-9bf8-4b47-9e4f-cd25e7192bc5?rule=mo-80.jpg","45527 Hattingen","WH Autozentrum Witten/Hattingen GmbH","4.7 Sterne","(5)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=420687772&con=NEW&dam=false&isSearchRequest=true&pageNumber=2&ref=srp&refId=944c691a-cc74-b242-09ca-8c522c4ac612&s=Car&sb=rel&searchId=944c691a-cc74-b242-09ca-8c522c4ac612&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/cd/cd1466b1-46e1-4067-8944-9198c6a2d56e?rule=mo-160w.jpg","Volkswagen Golf","GOAL 1,5 l TSI OPF 116 PS 6-Gang","29.580 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 123 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/1c/1c2f68fe-a23e-42e9-9ff3-e1d15dd8ed90?rule=mo-80.jpg","90763 Fürth","Autohaus W. Graf GmbH - Volkswagen","4.7 Sterne","(21)","Digitales Cockpit","Abstandstempomat","DAB digitaler..."
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=414510658&con=NEW&dam=false&isSearchRequest=true&pageNumber=2&ref=srp&refId=944c691a-cc74-b242-09ca-8c522c4ac612&s=Car&sb=rel&searchId=944c691a-cc74-b242-09ca-8c522c4ac612&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/02/02f4518b-039f-442c-96d9-a2119caa2d87?rule=mo-160w.jpg","Volkswagen Golf","Life 1.5 eTSI DSG SHZ+KAMERA+LED PLUS","29.750 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,3 l/100km (komb.) • 121 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/d0/d0f6f751-1bee-4e91-b5f7-760e2c1989af?rule=mo-80.jpg","57392 Schmallenberg","Autohaus Gierse & Schöllmann","4.5 Sterne","(26)","beheizbares Lenkrad","Navi Vorbereitung","Sitzheizung"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=411296050&con=NEW&dam=false&isSearchRequest=true&pageNumber=2&ref=srp&refId=944c691a-cc74-b242-09ca-8c522c4ac612&s=Car&sb=rel&searchId=944c691a-cc74-b242-09ca-8c522c4ac612&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/59/597f47e2-56d5-424c-9682-725a9ec7ad3c?rule=mo-160w.jpg","Volkswagen Golf","Variant Life AHK,Climatr,Kamera,ACC,SHZ,LED","29.750 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,7 l/100km (komb.) • 129 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/d1/d1e4ce67-5d2f-44b1-be2b-8122de955b33?rule=mo-80.jpg","38444 Wolfsburg-Heiligendorf","Hoffmann Automobile","4.7 Sterne","(119)","> 1000 Pkw im Bestand","TOP Finanzierung","Pkw Ankauf"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=420274807&con=NEW&dam=false&isSearchRequest=true&pageNumber=2&ref=srp&refId=944c691a-cc74-b242-09ca-8c522c4ac612&s=Car&sb=rel&searchId=944c691a-cc74-b242-09ca-8c522c4ac612&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/7f/7fcdcfa6-2cae-4c19-8fd1-45112fe85845?rule=mo-160w.jpg","Volkswagen Golf","Variant Life AHK,Climatr,Kamera,ACC,SHZ,LED","29.750 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,7 l/100km (komb.) • 129 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/d1/d1e4ce67-5d2f-44b1-be2b-8122de955b33?rule=mo-80.jpg","38444 Wolfsburg-Heiligendorf","Hoffmann Automobile","4.7 Sterne","(119)","> 1000 Pkw im Bestand","TOP Finanzierung","Pkw Ankauf"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=419189923&con=NEW&dam=false&isSearchRequest=true&pageNumber=2&ref=srp&refId=944c691a-cc74-b242-09ca-8c522c4ac612&s=Car&sb=rel&searchId=944c691a-cc74-b242-09ca-8c522c4ac612&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/47/478630be-c33f-4236-aa6c-9ca135a0ebe9?rule=mo-160w.jpg","Volkswagen Golf","Variant Life AHK,Climatr,Kamera,ACC,SHZ,LED","29.750 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,7 l/100km (komb.) • 129 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/d1/d1e4ce67-5d2f-44b1-be2b-8122de955b33?rule=mo-80.jpg","38444 Wolfsburg-Heiligendorf","Hoffmann Automobile","4.7 Sterne","(119)","> 1000 Pkw im Bestand","TOP Finanzierung","Pkw Ankauf"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=417802559&con=NEW&dam=false&isSearchRequest=true&pageNumber=2&ref=srp&refId=944c691a-cc74-b242-09ca-8c522c4ac612&s=Car&sb=rel&searchId=944c691a-cc74-b242-09ca-8c522c4ac612&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/8f/8f9de266-a3ed-4292-95e5-3afb516131fb?rule=mo-160w.jpg","Volkswagen Golf","Variant Life AHK,Climatr,Kamera,ACC,SHZ,LED","29.750 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,7 l/100km (komb.) • 129 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/d1/d1e4ce67-5d2f-44b1-be2b-8122de955b33?rule=mo-80.jpg","38444 Wolfsburg-Heiligendorf","Hoffmann Automobile","4.7 Sterne","(119)","> 1000 Pkw im Bestand","TOP Finanzierung","Pkw Ankauf"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=420274725&con=NEW&dam=false&isSearchRequest=true&pageNumber=2&ref=srp&refId=944c691a-cc74-b242-09ca-8c522c4ac612&s=Car&sb=rel&searchId=944c691a-cc74-b242-09ca-8c522c4ac612&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/47/478630be-c33f-4236-aa6c-9ca135a0ebe9?rule=mo-160w.jpg","Volkswagen Golf","Variant Life AHK,Climatr,Kamera,ACC,SHZ,LED","29.750 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,7 l/100km (komb.) • 129 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/d1/d1e4ce67-5d2f-44b1-be2b-8122de955b33?rule=mo-80.jpg","38444 Wolfsburg-Heiligendorf","Hoffmann Automobile","4.7 Sterne","(119)","> 1000 Pkw im Bestand","TOP Finanzierung","Pkw Ankauf"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=399256807&con=NEW&dam=false&isSearchRequest=true&pageNumber=2&ref=srp&refId=944c691a-cc74-b242-09ca-8c522c4ac612&s=Car&sb=rel&searchId=944c691a-cc74-b242-09ca-8c522c4ac612&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/68/68b62750-7222-453d-8cef-b54fc6f3fca3?rule=mo-160w.jpg","Volkswagen Golf","Var. Life 1,5 TSI AHK LED NAVI ACC SHZ GRA","29.790 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,0 l/100km (komb.) • 129 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/cb/cbda99f3-4954-4c04-8e7b-8b42bb6991d0?rule=mo-80.jpg","74172 Neckarsulm","asw.AUTOMOBILE GmbH & Co. KG","4.3 Sterne","(18)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=418924270&con=NEW&dam=false&isSearchRequest=true&pageNumber=2&ref=srp&refId=944c691a-cc74-b242-09ca-8c522c4ac612&s=Car&sb=rel&searchId=944c691a-cc74-b242-09ca-8c522c4ac612&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/61/61f51fb7-73a4-4d05-9f97-7197846d224e?rule=mo-160w.jpg","Volkswagen Golf","Variant 1.5eTSI DSG AHK Navi/MirrorLi Kam","29.950 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,7 l/100km (komb.) • 130 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","94365 Parkstetten","Weiss Motors","4.6 Sterne","(24)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=421393682&con=NEW&dam=false&isSearchRequest=true&pageNumber=2&ref=srp&refId=944c691a-cc74-b242-09ca-8c522c4ac612&s=Car&sb=rel&searchId=944c691a-cc74-b242-09ca-8c522c4ac612&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/bf/bf6210bd-a509-48f9-8a19-36773164eef6?rule=mo-160w.jpg","Volkswagen Golf","VIII 1.5 TSI Life *FREI KONFIGURIERBAR*","27.290 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,3 l/100km (komb.) • 120 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/f1/f1508556-3c9f-4df2-a9be-9ec9ff5245de?rule=mo-80.jpg","34119 Kassel","Glinicke Dienstleistungs GmbH","","","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=418449537&con=NEW&dam=false&isSearchRequest=true&pageNumber=2&ref=srp&refId=944c691a-cc74-b242-09ca-8c522c4ac612&s=Car&sb=rel&searchId=944c691a-cc74-b242-09ca-8c522c4ac612&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/10/10956acd-1253-44c4-9c71-84312ea7bc41?rule=mo-160w.jpg","Volkswagen Golf","Style 1,5 l TSI OPF 110 kW (150 PS) 6-Gang","29.990 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 127 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/24/246cf741-c6de-43ce-ae63-9eca595e65a3?rule=mo-80.jpg","73479 Ellwangen","Koch-BAG-Auto-GmbH","4.8 Sterne","(36)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=418741696&con=NEW&dam=false&isSearchRequest=true&pageNumber=2&ref=srp&refId=944c691a-cc74-b242-09ca-8c522c4ac612&s=Car&sb=rel&searchId=944c691a-cc74-b242-09ca-8c522c4ac612&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/aa/aa2b24d9-c2b3-414a-b2d2-49d6dc962c16?rule=mo-160w.jpg","Volkswagen Golf","Variant 1,5 l TSI *LIFE* LED*ACC*KLIMA*PDC*","26.990 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 127 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/22/228a8d09-ca25-48d7-bf15-ae63d0408b9c?rule=mo-80.jpg","77652 Offenburg","Graf Hardenberg GmbH & Co. KG","4.8 Sterne","(20)","","",""
"","Suche speichern","2","","","","","","","Speichere diese Suche und lass Dich benachrichtigen, wenn neue Angebote eingestellt werden.","","","","","","","","","",""
"Versicherung ab 9,17 € mtl.","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=416487781&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/58/58eda680-3d8e-4240-b5ac-c72140374bff?rule=mo-160w.jpg","Volkswagen Golf","1.5TSI Variant AHK Navi/MirrorLi Kamera LED","26.950 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 129 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","94365 Parkstetten","Weiss Motors","4.6 Sterne","(24)","","",""
"Versicherung ab 9,17 € mtl.","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=419235421&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/23/2324536f-5b23-4c24-9677-5ed64710df81?rule=mo-160w.jpg","Volkswagen Golf","1.5TSI Variant AHK Navi/MirrorLi Kamera LED","26.950 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 129 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","94365 Parkstetten","Weiss Motors","4.6 Sterne","(24)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=416487776&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/88/88ebef12-52a0-49d7-9f1c-89ef96dd4b19?rule=mo-160w.jpg","Volkswagen Golf","1.5TSI Variant AHK Navi/MirrorLi Kamera LED","26.950 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 129 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","94365 Parkstetten","Weiss Motors","4.6 Sterne","(24)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=391613356&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/59/596c0f17-cd84-4d13-b865-1f472d6bb1c2?rule=mo-160w.jpg","Volkswagen Golf","Life 1.5 TSI 6-Gang*LED*AppConnect*SHZ*Pano","30.500 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","6,0 l/100km (komb.) • 137 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/67/6775f71b-5226-4034-af50-9ffc82a85885?rule=mo-80.jpg","99817 Eisenach","Autohaus Göthling GmbH","4.4 Sterne","(10)","www.avemo-group.de","20.000 Autos abrufbar","gratis FZ-Bewertung"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=409919871&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/c5/c531ec27-1f95-448f-80b0-65784faff916?rule=mo-160w.jpg","Volkswagen Golf","VIII 1.5 TSI Life / Ganzjahresreifen","26.370 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","6,0 l/100km (komb.) • 137 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/57/577b8b6b-9c3c-4b4a-bef8-49f4f1b1f43c?rule=mo-80.jpg","95448 Bayreuth","Motor-Nützel Vertriebs-GmbH","4.8 Sterne","(6)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=419897800&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/56/56d84bba-a6f2-4a54-94f3-9968d97c611e?rule=mo-160w.jpg","Volkswagen Golf","Life 1,5 l eTSI OPF   7-Gang-Doppelkupplung","30.888 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,7 l/100km (komb.) • 130 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/97/9762b435-7109-462c-89a3-b777b829104d?rule=mo-80.jpg","77694 Kehl","bhg Autohandelsgesellschaft mbH","4 Sterne","(9)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=417802380&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/b3/b38c52c3-6c9a-4084-a8af-94d222031845?rule=mo-160w.jpg","Volkswagen Golf","Variant Life AHK,Climatr,Kamera,App-C.,SHZ","30.950 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,3 l/100km (komb.) • 121 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/d1/d1e4ce67-5d2f-44b1-be2b-8122de955b33?rule=mo-80.jpg","38444 Wolfsburg-Heiligendorf","Hoffmann Automobile","4.7 Sterne","(119)","> 1000 Pkw im Bestand","TOP Finanzierung","Pkw Ankauf"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=417993487&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/21/21f3be18-a195-48c7-9d87-08c48e1f6bc5?rule=mo-160w.jpg","Volkswagen Golf","8 1.5 TSI Style  HeadUp Navi LED Kamera PDC","30.990 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 126 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/4e/4e99c58c-ae95-4204-9c32-f4a1ee5ad199?rule=mo-80.jpg","49124 Georgsmarienhütte (Osnabrück)","Starke Georgsmarienhütte GmbH & Co. KG","4.5 Sterne","(57)","Günstige Finanzierung","1200 Lagerwagen","Inzahlungnahme möglich"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=410080053&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/cb/cb7395bf-801f-418e-9fa9-eff91561c570?rule=mo-160w.jpg","Volkswagen Tiguan Allspace","Elegance 2,0 l TSI OPF 4 MOTION","43.890 €","¹","• 140 kW (190 PS) • Benzin","Neuwagen","8,5 l/100km (komb.) • 193 g CO₂/km (komb.) • CO₂-Klasse G (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/04/040939e8-4fa3-471b-9604-08bc1926982f?rule=mo-80.jpg","65719 Hofheim","Göthling & Kaufmann Automobile GmbH","3.5 Sterne","(10)","www.avemo-group.de","20.000 Autos abrufbar","gratis FZ-Bewertung"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=418382509&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/db/dbf9fa6b-ad32-4516-8485-a667fe202821?rule=mo-160w.jpg","Volkswagen Golf","VIII 1,5 TSI Life KEYLESS+R-KAMERA+ACC+LEDP","25.990 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 127 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/da/da720031-893a-45fb-a4f1-3d0f7a8eea5f?rule=mo-80.jpg","24594 Hohenwestedt","Autohaus Ihle GmbH","4.9 Sterne","(57)","Winterpaket","Climatronic","App-Connect"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=407051093&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/df/dfc54cf5-cd47-4dfd-bac5-f18c61b221ed?rule=mo-160w.jpg","BMW X1","sDrive18i DAB Tuner; Sitzhzg.; AHK; Wireless","41.075 €","¹","• 100 kW (136 PS) • Benzin","Neuwagen","6,5 l/100km (komb.) • 148 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/a1/a1660781-a8df-4eb8-ab13-e6607db2e5a9?rule=mo-80.jpg","96450 Coburg","Autohaus Wormser GmbH Coburg","4.3 Sterne","(20)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=409074917&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/f6/f6467e14-d5c9-4596-beb0-879d3face2cc?rule=mo-160w.jpg","Volkswagen Golf","Variant Life Facelift,AHK ankl.,Climatronic","31.450 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,3 l/100km (komb.) • 121 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/d1/d1e4ce67-5d2f-44b1-be2b-8122de955b33?rule=mo-80.jpg","38444 Wolfsburg-Heiligendorf","Hoffmann Automobile","4.7 Sterne","(119)","> 1000 Pkw im Bestand","TOP Finanzierung","Pkw Ankauf"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=414634558&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/80/804b6d1e-509a-4da8-88da-82c19ef25eea?rule=mo-160w.jpg","Volkswagen Golf","Variant Life 1.5 TSI OPF 6-Gang HUD Navi di","31.490 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 127 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/df/dfd13c7c-9543-4169-81cd-df946ccff913?rule=mo-80.jpg","59229 Ahlen","Auto Weber GmbH & Co. KG","4.1 Sterne","(42)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=421393685&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/56/56d80f93-2ac4-4983-bfe1-bfc2b1183ecb?rule=mo-160w.jpg","Volkswagen Golf","VIII Lim. 1.5 TSI R-Line *FREI KONFIGURIERB","31.590 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 124 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/f1/f1508556-3c9f-4df2-a9be-9ec9ff5245de?rule=mo-80.jpg","34119 Kassel","Glinicke Dienstleistungs GmbH","","","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=408647201&con=NEW&dam=false&isSearchRequest=true&pageNumber=3&ref=srp&refId=c9498a30-f655-e6fe-1e6f-c624374a27e4&s=Car&sb=rel&searchId=c9498a30-f655-e6fe-1e6f-c624374a27e4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/6f/6f1384aa-5842-41f4-b26b-adf0066eedf8?rule=mo-160w.jpg","Volkswagen Passat Variant","1.5 eTSI Elegance Leder AHK Dach","40.999 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,7 l/100km (komb.) • 129 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/c5/c50b4c4e-0150-4067-8ce9-46c9df89d93a?rule=mo-80.jpg","18182 Mönchhagen","Autohaus Degenhardt, Spezialisiert auf Volkswagen und Nissan","4.6 Sterne","(20)","","",""
